# The nightly's shards (D-064): every test of ananke-sim's integration binaries, sim/tests/*.rs,
# assigned to one of six shards, each a job of its own. The weight is the test's CPU seconds
# (user + sys) at ANANKE_SEEDS=1000 and ANANKE_DEEP_SEEDS=100, run alone in release, measured on
# fc75f68 on an 8-core Apple machine; the assignment is longest-first into the lightest shard, so
# the shards carry equal weight. Everything outside these binaries runs in the `rest` job.
# scripts/check-nightly-shards.sh, part of the gate, fails when a test here does not exist, is
# listed twice, or when a test of these binaries is in no shard: a new sweep names its shard here
# in the commit that adds it.
# Rows added since fc75f68 are weighed the same way on the tree that adds them and placed
# longest-first into the lightest shard; the rows before them keep fc75f68's weights. D-068's
# four were weighed on its tree, on an idle machine, on their high-rate share. D-069 renamed
# seed 158's pin and added seed 102's, both weighed on its tree; the renamed row keeps its
# shard and the new one went to the lightest, which was the same shard 6.
# D-078 added one row, weighed on its tree at ANANKE_SEEDS=1000 ANANKE_DEEP_SEEDS=100 in
# release, alone in the command but with other agents' slices building on the same laptop
# (load average 69.71/57.02/39.49): 48.20 user + 2.46 sys = 50.7 cpu s. Shards 5 and 6 were
# the lightest at 1242.0 and it went to the lower-numbered of the two.
#
# shard	binary	cpu_s	test
# shard 1: 1278.5 cpu s
1	engine	625.1	an_install_in_two_switches_is_caught
1	engine	36.8	an_install_whose_repair_precedes_its_switch_is_caught
1	engine	0.6	seed_44_never_opens_empty_in_either_mode
1	engine	0.4	same_seed_gives_byte_identical_trace
1	engine	0.3	seed_420_which_the_first_nightly_found_stays_green
1	raft	258.5	a_leader_that_ignores_incarnations_never_forgets
1	raft	208.6	a_server_that_installs_without_current_last_is_caught
1	raft	103.3	on_the_sweeps_disk_the_install_silence_deposes_the_leader_under_either_count
1	raft	14.6	a_follower_that_truncates_on_every_append_is_caught
1	raft	0.3	seed_1885_which_the_nightly_failed_on_a_trace_timestamp_no_longer_straddles_an_isolation
1	raft	0.3	seed_6325_which_the_nightly_found_stays_green
1	raft	0.2	seed_5909_which_the_nightly_found_stays_green
1	raft	0.2	seed_164_which_a_local_ten_thousand_seed_run_found_stays_green
1	wal	29.3	a_log_that_skips_the_checksum_is_caught
# shard 2: 1276.2 cpu s
2	echo	0.2	different_seeds_give_different_traces
2	engine	34.6	a_checkpoint_that_copies_each_span_at_its_own_version_is_caught
2	engine	581.7	the_live_install_crash_test_passes_every_seed
2	engine	211.2	a_compaction_that_deletes_its_inputs_before_the_manifest_is_caught
2	engine	16.6	the_correct_engine_passes_every_seed_with_deep_levels
2	raft	276.0	a_leader_that_shares_one_snapshot_directory_and_streams_one_follower_at_a_time_is_caught
2	raft	151.5	a_leader_that_counts_nothing_from_a_refused_follower_is_caught
2	raft	4.4	a_server_that_sends_before_it_persists_is_caught
# shard 3: 1281.3 cpu s
3	echo	0.2	trace_hash_matches_the_pinned_golden
3	engine	39.8	an_install_whose_repair_follows_its_switch_is_caught
3	engine	417.5	the_range_delete_crash_test_passes_every_seed
3	engine	235.9	the_seek_crash_test_passes_every_seed
3	engine	58.7	an_install_that_keeps_its_sources_numbers_is_caught
3	engine	52.4	a_span_checkpoint_without_syncs_is_caught
3	engine	0.3	seed_3123_which_the_nightly_found_supersedes_a_resurrected_segment
3	raft	281.7	a_server_whose_refusal_is_not_durable_is_caught
3	raft	158.5	a_leader_that_counts_a_refused_followers_rejections_whatever_its_stream_does_is_caught
3	raft	12.8	the_incremental_checker_agrees_with_the_fold_over_the_whole_trace
3	raft	0.7	seed_132_which_pinned_the_combined_variant_before_the_layout_reaches_no_wedge
3	raft	0.5	the_seed_42_trace_is_written_for_the_studio
3	raft	0.4	seed_5909_passes_under_both_bugs_together_which_is_the_finding
3	raft	0.3	seed_687_which_the_premerge_found_stays_green
3	raft	0.2	seed_385_which_a_local_ten_thousand_seed_run_found_stays_green
3	raft	0.2	the_membership_scenario_has_byte_identical_traces_for_one_seed
3	wal	21.2	a_log_that_acknowledges_before_syncing_is_caught
# shard 4: 1280.2 cpu s
4	echo	0.1	same_seed_gives_byte_identical_trace
4	engine	210.8	the_correct_engine_passes_every_seed
4	engine	38.6	an_install_that_switches_one_span_at_a_time_is_caught
4	parallel	6.4	a_seed_inside_the_driver_gives_the_sequential_trace
4	raft	355.6	a_leader_that_trusts_the_clock_is_caught_and_the_guard_revokes
4	raft	282.6	a_server_without_pre_vote_is_caught_on_the_term_raise_schedule
4	raft	237.7	a_server_that_resets_its_timer_on_any_message_is_caught
